State,2009_Total,2009_Male,2009_Female,2010_Total,2010_Male,2010_Female,2011_Total,2011_Male,2011_Female,2012_Total,2012_Male,2012_Female,2013_Total,2013_Male,2013_Female
Alabama,4708708,2280784,2427924,4785298,2322243,2463055,4802740,2324413,2478327,4822023,2336291,2485732,4833722,2341869,2491853
Alaska,698473,360688,337785,713985,372436,341549,722718,372916,349802,731449,381094,350355,735132,386404,348728
Arizona,6595778,3307075,3288703,6413737,3190700,3223037,6482505,3228514,3253991,6553255,3260687,3292568,6626624,3298086,3328538
Arkansas,2889450,1413505,1475945,2921606,1430837,1490769,2937979,1447850,1490129,2949131,1449265,1499866,2959373,1461544,1497829
California,36961664,18517377,18444287,37349363,18570505,18778858,37691912,18750692,18941220,38041430,18917773,19123657,38332521,19072246,19260275
Colorado,5024748,2529083,2495665,5049071,2531362,2517709,5116796,2569136,2547660,5187582,2601370,2586212,5268367,2645976,2622391
Connecticut,3518288,1716182,1802106,3577073,1738918,1838155,3580709,1743795,1836914,3590347,1749806,1840541,3596080,1751883,1844197
Delaware,885122,428865,456257,899769,436608,463161,907135,439918,467217,917092,444691,472401,925749,447789,477960
District of Columbia,599657,281649,318008,604453,285729,318724,617996,292283,325713,632323,299036,333287,646449,306147,340302
Florida,18537969,9111329,9426640,18843326,9212548,9630778,19057542,9321149,9736393,19317568,9441001,9876567,19552860,9565609,9987251
Georgia,9829211,4826927,5002284,9712587,4742754,4969833,9815210,4808996,5006214,9919945,4851053,5068892,9992167,4879034,5113133
Hawaii,1295178,654657,640521,1363621,684087,679534,1374810,688600,686210,1392313,701196,691117,1404054,710917,693137
Idaho,1545801,776454,769347,1571450,787506,783944,1584985,794914,790071,1595728,798712,797016,1612136,810879,801257
Illinois,12910409,6359111,6551298,12843166,6294434,6548732,12869259,6309308,6559951,12875255,6316653,6558602,12882135,6326778,6555357
Indiana,6423113,3159805,3263308,6490621,3197124,3293497,6516922,3206430,3310492,6537334,3217145,3320189,6570902,3228884,3342018
Iowa,3007857,1483357,1524500,3049883,1505879,1544004,3062309,1512251,1550058,3074186,1524107,1550079,3090416,1528770,1561646
Kansas,2818747,1397869,1420878,2859169,1417134,1442035,2871238,1423188,1448050,2885905,1434617,1451288,2893957,1440481,1453476
Kentucky,4314113,2111522,2202591,4346266,2140493,2205773,4369356,2143745,2225611,4380415,2154939,2225476,4395295,2163067,2232228
Louisiana,4492076,2181738,2310338,4544228,2227014,2317214,4574836,2236117,2338719,4601893,2248888,2353005,4625470,2256464,2369006
Maine,1318301,642823,675478,1327567,648889,678678,1328188,651076,677112,1329192,650714,678478,1328302,649994,678308
