,State,2009_Total,2009_Male,2009_Female,2010_Total,2010_Male,2010_Female,2011_Total,2011_Male,2011_Female,2012_Total,2012_Male,2012_Female,2013_Total,2013_Male,2013_Female,code
0,Alabama,4.71,2.28,2.43,4.79,2.32,2.46,4.8,2.32,2.48,4.82,2.34,2.49,4.83,2.34,2.49,AL
1,Alaska,0.7,0.36,0.34,0.71,0.37,0.34,0.72,0.37,0.35,0.73,0.38,0.35,0.74,0.39,0.35,AK
2,Arizona,6.6,3.31,3.29,6.41,3.19,3.22,6.48,3.23,3.25,6.55,3.26,3.29,6.63,3.3,3.33,AZ
3,Arkansas,2.89,1.41,1.48,2.92,1.43,1.49,2.94,1.45,1.49,2.95,1.45,1.5,2.96,1.46,1.5,AR
4,California,36.96,18.52,18.44,37.35,18.57,18.78,37.69,18.75,18.94,38.04,18.92,19.12,38.33,19.07,19.26,CA
5,Colorado,5.02,2.53,2.5,5.05,2.53,2.52,5.12,2.57,2.55,5.19,2.6,2.59,5.27,2.65,2.62,CO
6,Connecticut,3.52,1.72,1.8,3.58,1.74,1.84,3.58,1.74,1.84,3.59,1.75,1.84,3.6,1.75,1.84,CT
7,Delaware,0.89,0.43,0.46,0.9,0.44,0.46,0.91,0.44,0.47,0.92,0.44,0.47,0.93,0.45,0.48,DE
8,Florida,18.54,9.11,9.43,18.84,9.21,9.63,19.06,9.32,9.74,19.32,9.44,9.88,19.55,9.57,9.99,FL
9,Georgia,9.83,4.83,5.0,9.71,4.74,4.97,9.82,4.81,5.01,9.92,4.85,5.07,9.99,4.88,5.11,GA
10,Hawaii,1.3,0.65,0.64,1.36,0.68,0.68,1.37,0.69,0.69,1.39,0.7,0.69,1.4,0.71,0.69,HI
11,Idaho,1.55,0.78,0.77,1.57,0.79,0.78,1.58,0.79,0.79,1.6,0.8,0.8,1.61,0.81,0.8,ID
12,Illinois,12.91,6.36,6.55,12.84,6.29,6.55,12.87,6.31,6.56,12.88,6.32,6.56,12.88,6.33,6.56,IL
13,Indiana,6.42,3.16,3.26,6.49,3.2,3.29,6.52,3.21,3.31,6.54,3.22,3.32,6.57,3.23,3.34,IN
