,State,year,Female,Male,Total,code
0,Alabama,2009,2.43,2.28,4.71,AL
1,Alabama,2010,2.46,2.32,4.79,AL
2,Alabama,2011,2.48,2.32,4.8,AL
3,Alabama,2012,2.49,2.34,4.82,AL
4,Alabama,2013,2.49,2.34,4.83,AL
5,Alaska,2009,0.34,0.36,0.7,AK
6,Alaska,2010,0.34,0.37,0.71,AK
7,Alaska,2011,0.35,0.37,0.72,AK
8,Alaska,2012,0.35,0.38,0.73,AK
9,Alaska,2013,0.35,0.39,0.74,AK
10,Arizona,2009,3.29,3.31,6.6,AZ
11,Arizona,2010,3.22,3.19,6.41,AZ
12,Arizona,2011,3.25,3.23,6.48,AZ
13,Arizona,2012,3.29,3.26,6.55,AZ
14,Arizona,2013,3.33,3.3,6.63,AZ
15,Arkansas,2009,1.48,1.41,2.89,AR
16,Arkansas,2010,1.49,1.43,2.92,AR
17,Arkansas,2011,1.49,1.45,2.94,AR
18,Arkansas,2012,1.5,1.45,2.95,AR
19,Arkansas,2013,1.5,1.46,2.96,AR
20,California,2009,18.44,18.52,36.96,CA
21,California,2010,18.78,18.57,37.35,CA
22,California,2011,18.94,18.75,37.69,CA
23,California,2012,19.12,18.92,38.04,CA
24,California,2013,19.26,19.07,38.33,CA
25,Colorado,2009,2.5,2.53,5.02,CO
26,Colorado,2010,2.52,2.53,5.05,CO
27,Colorado,2011,2.55,2.57,5.12,CO
28,Colorado,2012,2.59,2.6,5.19,CO
29,Colorado,2013,2.62,2.65,5.27,CO
30,Connecticut,2009,1.8,1.72,3.52,CT
31,Connecticut,2010,1.84,1.74,3.58,CT
32,Connecticut,2011,1.84,1.74,3.58,CT
33,Connecticut,2012,1.84,1.75,3.59,CT
34,Connecticut,2013,1.84,1.75,3.6,CT
35,Delaware,2009,0.46,0.43,0.89,DE
36,Delaware,2010,0.46,0.44,0.9,DE
37,Delaware,2011,0.47,0.44,0.91,DE
38,Delaware,2012,0.47,0.44,0.92,DE
39,Delaware,2013,0.48,0.45,0.93,DE
40,Florida,2009,9.43,9.11,18.54,FL
41,Florida,2010,9.63,9.21,18.84,FL
42,Florida,2011,9.74,9.32,19.06,FL
43,Florida,2012,9.88,9.44,19.32,FL
44,Florida,2013,9.99,9.57,19.55,FL
45,Georgia,2009,5.0,4.83,9.83,GA
46,Georgia,2010,4.97,4.74,9.71,GA
47,Georgia,2011,5.01,4.81,9.82,GA
48,Georgia,2012,5.07,4.85,9.92,GA
49,Georgia,2013,5.11,4.88,9.99,GA
50,Hawaii,2009,0.64,0.65,1.3,HI
51,Hawaii,2010,0.68,0.68,1.36,HI
52,Hawaii,2011,0.69,0.69,1.37,HI
53,Hawaii,2012,0.69,0.7,1.39,HI
54,Hawaii,2013,0.69,0.71,1.4,HI
55,Idaho,2009,0.77,0.78,1.55,ID
56,Idaho,2010,0.78,0.79,1.57,ID
57,Idaho,2011,0.79,0.79,1.58,ID
58,Idaho,2012,0.8,0.8,1.6,ID
59,Idaho,2013,0.8,0.81,1.61,ID
60,Illinois,2009,6.55,6.36,12.91,IL
61,Illinois,2010,6.55,6.29,12.84,IL
62,Illinois,2011,6.56,6.31,12.87,IL
63,Illinois,2012,6.56,6.32,12.88,IL
64,Illinois,2013,6.56,6.33,12.88,IL
65,Indiana,2009,3.26,3.16,6.42,IN
66,Indiana,2010,3.29,3.2,6.49,IN
67,Indiana,2011,3.31,3.21,6.52,IN
68,Indiana,2012,3.32,3.22,6.54,IN
69,Indiana,2013,3.34,3.23,6.57,IN
70,Iowa,2009,1.52,1.48,3.01,IA
71,Iowa,2010,1.54,1.51,3.05,IA
72,Iowa,2011,1.55,1.51,3.06,IA
73,Iowa,2012,1.55,1.52,3.07,IA
74,Iowa,2013,1.56,1.53,3.09,IA
75,Kansas,2009,1.42,1.4,2.82,KS
76,Kansas,2010,1.44,1.42,2.86,KS
77,Kansas,2011,1.45,1.42,2.87,KS
78,Kansas,2012,1.45,1.43,2.89,KS
79,Kansas,2013,1.45,1.44,2.89,KS
80,Kentucky,2009,2.2,2.11,4.31,KY
81,Kentucky,2010,2.21,2.14,4.35,KY
82,Kentucky,2011,2.23,2.14,4.37,KY
83,Kentucky,2012,2.23,2.15,4.38,KY
84,Kentucky,2013,2.23,2.16,4.4,KY
85,Louisiana,2009,2.31,2.18,4.49,LA
86,Louisiana,2010,2.32,2.23,4.54,LA
87,Louisiana,2011,2.34,2.24,4.57,LA
88,Louisiana,2012,2.35,2.25,4.6,LA
89,Louisiana,2013,2.37,2.26,4.63,LA
90,Maine,2009,0.68,0.64,1.32,ME
91,Maine,2010,0.68,0.65,1.33,ME
92,Maine,2011,0.68,0.65,1.33,ME
93,Maine,2012,0.68,0.65,1.33,ME
94,Maine,2013,0.68,0.65,1.33,ME
95,Maryland,2009,2.93,2.77,5.7,MD
96,Maryland,2010,2.99,2.8,5.79,MD
97,Maryland,2011,3.01,2.82,5.83,MD
98,Maryland,2012,3.04,2.85,5.88,MD
99,Maryland,2013,3.05,2.88,5.93,MD
100,Massachusetts,2009,3.39,3.2,6.59,MA
101,Massachusetts,2010,3.39,3.17,6.56,MA
102,Massachusetts,2011,3.4,3.19,6.59,MA
103,Massachusetts,2012,3.43,3.22,6.65,MA
104,Massachusetts,2013,3.45,3.25,6.69,MA
105,Michigan,2009,5.07,4.9,9.97,MI
106,Michigan,2010,5.03,4.85,9.88,MI
107,Michigan,2011,5.03,4.85,9.88,MI
108,Michigan,2012,5.03,4.85,9.88,MI
109,Michigan,2013,5.04,4.86,9.9,MI
110,Minnesota,2009,2.65,2.62,5.27,MN
111,Minnesota,2010,2.68,2.64,5.31,MN
112,Minnesota,2011,2.69,2.66,5.34,MN
113,Minnesota,2012,2.71,2.67,5.38,MN
114,Minnesota,2013,2.73,2.69,5.42,MN
115,Mississippi,2009,1.52,1.43,2.95,MS
116,Mississippi,2010,1.53,1.44,2.97,MS
117,Mississippi,2011,1.53,1.45,2.98,MS
118,Mississippi,2012,1.54,1.44,2.98,MS
119,Mississippi,2013,1.54,1.45,2.99,MS
120,Missouri,2009,3.06,2.93,5.99,MO
121,Missouri,2010,3.06,2.93,6.0,MO
122,Missouri,2011,3.06,2.95,6.01,MO
123,Missouri,2012,3.07,2.95,6.02,MO
124,Missouri,2013,3.08,2.96,6.04,MO
125,Montana,2009,0.49,0.49,0.97,MT
126,Montana,2010,0.49,0.5,0.99,MT
127,Montana,2011,0.5,0.5,1.0,MT
128,Montana,2012,0.5,0.5,1.01,MT
129,Montana,2013,0.51,0.51,1.02,MT
130,Nebraska,2009,0.91,0.89,1.8,NE
131,Nebraska,2010,0.92,0.91,1.83,NE
132,Nebraska,2011,0.93,0.91,1.84,NE
133,Nebraska,2012,0.93,0.92,1.86,NE
134,Nebraska,2013,0.94,0.93,1.87,NE
135,Nevada,2009,1.3,1.35,2.64,NV
136,Nevada,2010,1.34,1.37,2.7,NV
137,Nevada,2011,1.35,1.37,2.72,NV
138,Nevada,2012,1.37,1.39,2.76,NV
139,Nevada,2013,1.39,1.4,2.79,NV
140,New Hampshire,2009,0.67,0.65,1.32,NH
141,New Hampshire,2010,0.67,0.65,1.32,NH
142,New Hampshire,2011,0.67,0.65,1.32,NH
143,New Hampshire,2012,0.67,0.65,1.32,NH
144,New Hampshire,2013,0.67,0.65,1.32,NH
145,New Jersey,2009,4.44,4.27,8.71,NJ
146,New Jersey,2010,4.52,4.28,8.8,NJ
147,New Jersey,2011,4.52,4.3,8.82,NJ
148,New Jersey,2012,4.54,4.32,8.86,NJ
149,New Jersey,2013,4.56,4.34,8.9,NJ
150,New Mexico,2009,1.02,0.99,2.01,NM
151,New Mexico,2010,1.04,1.02,2.07,NM
152,New Mexico,2011,1.05,1.04,2.08,NM
153,New Mexico,2012,1.05,1.03,2.09,NM
154,New Mexico,2013,1.05,1.03,2.09,NM
155,New York,2009,10.04,9.5,19.54,NY
